"Sex" "Fat" "StorageTime" "Year"
"F" 0.717 327 2016
"F" 1.1 98 2016
"F" 6.263 388 2016
"M" 4.634 90 2016
"M" 11.503 105 2016
"M" 2.632 90 2016
"M" 0.76 103 2016
"M" 2.462 108 2016
"M" 36.56 104 2016
"M" 1.399 108 2016
"M" 2.29 84 2016
"F" 1.329 104 2016
"F" 5.712 84 2016
"F" 0.1 103 2016
"F" 2.497 81 2016
"M" 13.306 80 2016
"F" 6.847 114 2016
"F" 10.071 302 2016
"M" 4.976 76 2016
"F" 2.944 297 2016
"M" 0.254 454 2016
"F" 46.113 307 2016
"M" 0.657 446 2016
"M" 57.113 434 2016
"F" 12.884 279 2016
"F" 2.599 408 2016
"F" 2.418 434 2016
"F" 37.246 336 2016
"F" 9.344 360 2016
"F" 0.784 292 2016
"F" 23.058 402 2016
"M" 0.126 422 2016
"F" 13.393 264 2016
"M" 1.43 45 2013
"F" 0.686 281 2016
"M" 1.437 415 2016
"M" 5.104 432 2016
"F" 0.306 86 2016
"M" 2.905 438 2016
"F" 0.214 433 2016
"F" 1.213 390 2016
"F" 11.492 411 2016
"M" 1.197 401 2016
"F" 0.197 424 2016
"M" 4.652 264 2016
"F" 5.625 357 2016
"M" 33.768 275 2016
"M" 0.235 376 2016
"F" 3.824 394 2016
"M" 36.984 375 2016
"F" 0.151 252 2016
"F" 3.094 36 2016
"F" 3.052 392 2016
"F" 2.792 364 2016
"M" 19.98 29 2016
"M" 5.129 381 2016
"F" 10.354 2 2017
"M" 4.098 187 2013
"M" 0.595 39 2013
"M" 0.637 39 2013
"M" 109.506 3 2013
"M" 0.115 241 2017
"M" 0.066 221 2017
"M" 52.029 118 2013
"F" 0.018 223 2017
"M" 2.905 222 2013
"F" 0.222 209 2017
"F" 0.521 201 2017
"M" 0.799 168 2017
"M" 0.231 187 2017
"M" 1.215 167 2017
"M" 54.479 593 2018
"M" 1.445 20 2013
"M" 21.896 581 2018
"M" 10.885 523 2018
"M" 21.575 568 2018
"M" 4.804 566 2018
"M" 23.753 503 2018
"F" 35.701 497 2018
"M" 9.132 536 2018
"F" 29.582 496 2018
"M" 1.109 488 2018
"F" 28.009 488 2018
"M" 0.492 535 2018
"M" 2.461 528 2018
"F" 4.554 524 2018
"F" 70.304 539 2018
"F" 21.396 528 2018
"M" 0.126 522 2018
"M" 0.512 534 2018
"F" 2.014 525 2018
"F" 37.417 510 2018
"M" 1.963 531 2018
"F" 5.679 470 2018
"M" 4.086 530 2018
"M" 0.586 533 2018
"M" 13.482 531 2018
"M" 1.813 521 2018
"F" 11.193 617 2018
"F" 8.587 612 2018
"M" 0.568 615 2018
"F" 0.085 611 2018
"F" 37.109 611 2018
"F" 10.456 608 2018
"M" 0.54 610 2018
"F" 5.667 605 2018
"M" 0.581 606 2018
"M" 0.973 602 2018
"F" 0.847 605 2018
"F" 0.119 617 2018
"M" 6.902 609 2018
"F" 1.802 600 2018
"M" 0.1 600 2018
"M" 0.238 603 2018
"M" 0.105 599 2018
"M" 3.784 599 2018
"F" 1.732 599 2018
"M" 0.326 602 2018
"M" 3.393 605 2018
"F" 0.582 603 2018
"F" 0.893 597 2018
"F" 25.465 600 2018
"F" 5.512 594 2018
"M" 4.271 600 2018
"M" 1.212 594 2018
"F" 9.055 594 2018
"M" 0.024 591 2018
"M" 5.057 600 2018
"M" 0.772 589 2018
"M" 1.042 586 2018
"F" 0.51 585 2018
"M" 0.967 592 2018
"M" 0.686 588 2018
"M" 0.827 586 2018
"F" 0.859 583 2018
"M" 1.7 580 2018
"F" 1.63 583 2018
"F" 0.198 580 2018
